"","Title.x","Doi.x","Year","Taxon","Species","Social_mating_system","Mating_in_study","Source_of_population","Exposure_stage","Exposure_category","Exposure_factor","Proximate_mechanisms","Maternal_effects","Maternal_effectcs_control","Latest_offspring_stage","Embryo_traits","Just_born_hatched_traits","Larvae_traits","Juveniles_traits","Adult_traits","Trait_list","Grand_offspring_traits","Grand_offspring_stage","Sex_specific_effects","Maternal_exposure","Offspring_exposure","Comments","link","id","label","Title.y","Doi.y","x","y","cluster","weight.Links.","weight.Total.link.strength.","weight.Citations.","weight.Norm..citations.","score.Pub..year.","score.Citations.","score.Norm..citations."
"43","maternal and paternal nutrition in a mosquito influences offspring life histories but not infection with an arbovirus","10.1002.ecs2.2469",2018,"arthropod","Aedes aegypti","polygamy – promiscuity","without mate choice","captive","as juvenile","Diet","high or low larval food quantity","does not assess","no",NA,"adults",NA,NA,"survival",NA,"physiology, survival","pupation success of high and low larval diet, development time from hatch until emergence and survivorship to adulthood, size and susceptibility to infection with dengue virus and dissemination into secondary tissues in the females","no",NA,"yes","diallel","yes",NA,"10.1002.ecs2.2469",29,"zirbel k.e. (2018)","maternal and paternal nutrition in a mosquito influences offspring life histories but not infection with an arbovirus","10.1002.ecs2.2469",-1.115,0.3355,3,62,30,0,0,2018,0,0
"44","parental diet has strong transgenerational effects on offspring immunity","10.1111.j.1365.2435.2012.02051.x",2012,"arthropod","Plodia interpunctella","polygamy – promiscuity","without mate choice","captive","as juvenile","Diet","diet quality (wheat bran content)","does not assess","no",NA,"larvae",NA,NA,"physiology, morphology",NA,NA,"haemocyte count, phenoloxidase activity in 5th-instar larvae, larval body mass on two diets","no",NA,"yes","diallel","yes",NA,"10.1111.j.1365.2435.2012.02051.x",287,"triggs a.m. (2012)","parental diet has strong transgenerational effects on offspring immunity","10.1111.j.1365.2435.2012.02051.x",-0.7552,0.0438,3,63,30,38,1,2012,38,1
"45","parental host plant affects offspring life histories in a seed beetle","10.2307.1941199",1995,"arthropod","Stator limbatus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","host plant","does not assess","no",NA,"adults",NA,NA,NA,"survival","morphology, other","development time, egg-adult survivorship, body mass of adults, sex ratio, performance on different rearing hosts","no",NA,"yes","diallel","yes",NA,"10.2307.1941199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","the effects of paternal high-fat diet exposure on offspring metabolism with epigenetic changes in the mouse adiponectin and leptin gene promoters","10.1152.ajpendo.00095.2016",2016,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","high-fat diet for 6 weeks prior to mating","does not assess","no",NA,"adults",NA,NA,NA,"morphology","gene expression, physiology, morphology","body weight, fat levels, glucose, insulin, total triglyceride, adiponectin, and leptin levels, metabolic parameters, cystolic blood pressure, gene expression, phisiological performacne after hig-fat diet up to F3 generation","phenotype","adults","yes","diallel","yes",NA,"10.1152.ajpendo.00095.2016",158,"masuyama h. (2016)","the effects of paternal high-fat diet exposure on offspring metabolism with epigenetic changes in the mouse adiponectin and leptin gene promoters","10.1152.ajpendo.00095.2016",0.1137,-0.6594,1,121,21,23,1.0964,2016,23,1.0964
"47","maternal and paternal chronic exposure to enflurane and halothane: fetal and histological changes in the rat","10.1093.bja.53.3.203",1981,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","halothane or enflurane exposure for 36 or 64 dyas prior to mating","does not assess","no",NA,"embryos","morphology, other",NA,NA,NA,NA,"sex ratio, fetal size and weight, malformations","phenotype & fitness (survival or fecundity)","embryos","yes","diallel","no","unclear data on gradnoffspring generation","10.1093.bja.53.3.203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","development of anxiety-like behavior via hippocampal igf-2 signaling in the offspring of parental morphine exposure: effect of enriched environment","10.1038.npp.2014.128",2014,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Drug","morphine sulfate (subcutaneous exposure) in increasign doses for 10 days","does not assess","no",NA,"adults",NA,"morphology",NA,"morphology, survival","gene expression, physiology, morphology, behavior","birth weight, and at subsequent points, anxiety-like behawior, expolarative hbehavior, performance following enviromental enrichment, brain functions, neronal development, gene expression","no",NA,"yes","diallel","no",NA,"10.1038.npp.2014.128",239,"li c.-q. (2014)","development of anxiety-like behavior via hippocampal igf-2 signaling in the offspring of parental morphine exposure: effect of enriched environment","10.1038.npp.2014.128",-0.1076,0.665,1,14,13,22,0.5869,2014,22,0.5869
"49","maternal and paternal caffeine intake and art outcomes in couples referring to an italian fertility clinic: a prospective cohort","10.3390.nu10081116",2018,"human","Homo sapiens","monogamy","with mate choice","human","as adult","Drug","caffeine intake","does not assess","no","in-vitro fertilization","just born / hatched","survival",NA,NA,NA,NA,"success rate ot subsequent stages of assisted reproduction techniques","no",NA,"no","diallel","no",NA,"10.3390.nu10081116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","role of epigenetic mechanisms in transmitting the effects of neonatal sevoflurane exposure to the next generation of male, but not female, rats","10.1016.j.bja.2018.04.034",2018,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as juvenile","Drug","exposed to anaesthetisc - sevoflurane on postnatal day 5","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, survival","behavioral tests, corticosterone response to restarin, bisulphite sequencing of brain tissue","no",NA,"yes","diallel","no",NA,"10.1016.j.bja.2018.04.034",45,"ju l.-s. (2018)","role of epigenetic mechanisms in transmitting the effects of neonatal sevoflurane exposure to the next generation of male, but not female, rats","10.1016.j.bja.2018.04.034",-0.3968,-0.7372,1,43,3,6,1.5396,2018,6,1.5396
"51","protective effects of garlic extract and vitamin c against in vivo cypermethrin-induced teratogenic effects in rat offspring","10.1016.j.fct.2010.08.011",2010,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Drug; Chemical substance","aral intubation of cypermethrin for 6o days and garlic aqueous extract or vit C","does not assess","no",NA,"embryos","morphology, survival",NA,NA,NA,NA,"fetal malformations","no",NA,"no","diallel","no",NA,"10.1016.j.fct.2010.08.011",325,"assayed m.e. (2010)","protective effects of garlic extract and vitamin c against in vivo cypermethrin-induced teratogenic effects in rat offspring","10.1016.j.fct.2010.08.011",0.6697,0.4293,2,10,3,24,0.263,2010,24,0.263
"52","sex-specific transgenerational effects of early developmental conditions in a passerine","10.1111.j.1095.8312.2007.00811.x",2007,"bird","Taeniopygia guttata","monogamy","with mate choice","captive","as juvenile","Past experience","being rised in reduced or enlarged brood","does not assess","no",NA,"juveniles",NA,NA,NA,"morphology",NA,"body weight, tarsus and wing lenght at 14 dyas of age","no",NA,"no","diallel","no",NA,"10.1111.j.1095.8312.2007.00811.x",353,"alonso-alvarez c. (2007)","sex-specific transgenerational effects of early developmental conditions in a passerine","10.1111.j.1095.8312.2007.00811.x",-0.7399,0.6921,3,34,11,10,0.4032,2007,10,0.4032
"53","observations on offspring of mice made diabetic with streptozocin","..",1988,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","streptozocin (STZ)-induced diabetes","does not assess","no",NA,"adults",NA,NA,NA,"physiology, morphology, other","physiology, morphology","body weight, b;lood glucoose levels, survial","no",NA,"yes","diallel","no",NA,"observations on offspring of mice made diabetic with streptozocin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","paternal arbuscular mycorrhizal fungal status affects dna methylation in seeds","10.1098.rsbl.2017.0407",2017,"plant","Geranium sylvaticum","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Physiological factor","innoculation with arbuscular mycorrhizal fungi","does not assess","no","artificial insemination","just born / hatched",NA,"physiology",NA,NA,NA,"DNA methylation in the seeds","no",NA,"no","diallel","no",NA,"10.1098.rsbl.2017.0407",100,"varga s. (2017)","paternal arbuscular mycorrhizal fungal status affects dna methylation in seeds","10.1098.rsbl.2017.0407",-0.9527,0.372,3,22,9,1,0.1429,2017,1,0.1429
"55","the effect of maternal and paternal immune challenge on offspring immunity and reproduction in a cricket","10.1111.jeb.12376",2014,"arthropod","Teleogryllus oceanicus","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","immunization with Serratia marcascens","does not assess","unclear",NA,"adults",NA,NA,NA,NA,"physiology, morphology, fecundity","body mass, sperm viability, ovary mass, immunocmpetence (phenoloxidase activity)","no",NA,"yes","diallel","no",NA,"10.1111.jeb.12376",251,"mcnamara k.b. (2014)","the effect of maternal and paternal immune challenge on offspring immunity and reproduction in a cricket","10.1111.jeb.12376",-0.5083,0.1974,3,177,31,11,0.2934,2014,11,0.2934
"56","vertical transmission of murine leukemia virus","..",1969,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as juvenile","Physiological factor","injection of leucemia virus at the age of 2 days","correlative assessment","yes – maternal effects","cross-fostering","adults",NA,NA,NA,"survival","survival","survival, incidence of leukemia","no",NA,"yes","diallel","no",NA,"vertical transmission of murine leukemia virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","biparental immune priming in the pipefish syngnathus typhle","10.1016.j.zool.2016.06.002",2016,"fish","Syngnathus typhle","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Physiological factor","immunization with heat-killed bacteria","male pregnancy","no",NA,"adults",NA,NA,NA,"physiology","physiology, other","immune resposne in jouvenilea and adults, expression of immune genes, time to reach sexual maturity","no",NA,"no","diallel","yes",NA,"10.1016.j.zool.2016.06.002",155,"beemelmanns a. (2016)","biparental immune priming in the pipefish syngnathus typhle","10.1016.j.zool.2016.06.002",-0.6502,0.1748,3,89,46,13,0.6197,2016,13,0.6197
"58","grandparental immune priming in the pipefish syngnathus typhle","10.1186.s12862.017.0885.3",2017,"fish","Syngnathus typhle","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Physiological factor","immunization with heat-killed bacteria (Vibrio spp. and Tenacibaculum maritimum)","male pregnancy","no",NA,"adults",NA,NA,NA,NA,NA,"immune response, immune gene expression and body size of GRANDOFFSPRING","phenotype","juveniles","no","diallel","yes",NA,"10.1186.s12862.017.0885.3",127,"beemelmanns a. (2017)","grandparental immune priming in the pipefish syngnathus typhle","10.1186.s12862.017.0885.3",-0.523,0.3313,3,85,48.6,7,1,2017,7,1
"59","male pregnancy and biparental immune priming","10.1086.668081",2012,"fish","Syngnathus typhle","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Physiological factor","immunization with heat-killed Vibrio bacteria","male pregnancy","no",NA,"adults",NA,NA,NA,"gene expression","gene expression, morphology","innate and acquired immune resposne incl. lymphocyte activity, growth rate, size at adulthood, expression of immune genes","no",NA,"no","diallel","yes",NA,"10.1086.668081",288,"roth o. (2012)","male pregnancy and biparental immune priming","10.1086.668081",-1.1996,0.4205,3,33,24,30,0.7895,2012,30,0.7895
"60","paternally derived immune priming for offspring in the red flour beetle, triboliumcastaneum","10.1111.j.1365.2656.2009.01617.x",2010,"arthropod","Tribolium castaneum","polygamy – promiscuity","without mate choice","captive","as adult","Physiological factor","immunization with Bacillus thuringiensis or Escherichia coli","does not assess","unclear",NA,"adults",NA,NA,NA,"other","physiology, fecundity","developmental time until adult eclosion, antimicrobial activity, reproduction over 2 weeks","no",NA,"no","diallel","yes",NA,"10.1111.j.1365.2656.2009.01617.x",332,"roth o. (2010)","paternally derived immune priming for offspring in the red flour beetle, tribolium castaneum","10.1111.j.1365.2656.2009.01617.x",-0.8766,0.1464,3,79,26,129,1.4137,2010,129,1.4137
"61","transgenerational plasticity and antiviral immunity in the pacific oyster (crassostrea gigas) against ostreid herpesvirus 1 (oshv-1)","10.1016.j.dci.2018.09.022",2019,"other invertebrate","Crassostrea gigas","polygamy – promiscuity","without mate choice","wild brought into captivity","as adult","Physiological factor","immunization with Ostreid herpesvirus 1 (OsHV-1)","does not assess","yes – maternal effects","in-vitro fertilization","larvae",NA,NA,"gene expression, physiology, survival",NA,NA,"immunity (survival) to OsHV-1 infection and gene expression in larvae","no",NA,"no","diallel","yes",NA,"10.1016.j.dci.2018.09.022",12,"lafont m. (2019)","transgenerational plasticity and antiviral immunity in the pacific oyster (crassostrea gigas) against ostreid herpesvirus 1 (oshv-1)","10.1016.j.dci.2018.09.022",-1.1323,0.2555,3,21,10,2,1.2903,2019,2,1.2903
